"","Title","Currency","amountAwarded","awardDate","Organisation","fundingOrg","fundingDept","grantProgramme","amountRequested","orgSize"
"395","Grant to Christ the King Sixth Form College","GBP",50000,2016-03-21,"Christ the King Sixth Form College","Greater London Authority","Communities and Intelligence","London Schools Excellence Legacy Fund",49784.3521411893,"large"
"396","Grant to Richmond Upon Thames College","GBP",11710048,2016-03-23,"Richmond Upon Thames College","Greater London Authority","Development, Enterprise & Environment",NA,12392838.6280847,"med"
"397","Grant to University of Hertfordshire","GBP",50000,2016-03-24,"University of Hertfordshire","Greater London Authority","Communities and Intelligence","London Schools Excellence Legacy Fund",59089.9371367393,"med"
"398","Grant to Royal Geographical Society (with IBG)","GBP",53885,2016-03-24,"Royal Geographical Society (with IBG)","Greater London Authority","Communities and Intelligence","London Schools Excellence Legacy Fund",63114.185725308,"large"
"399","Grant to Reserve Forces and Cadets Association for Greater London","GBP",20000,2016-03-29,"Reserve Forces and Cadets Association for Greater London","Greater London Authority","Communities and Intelligence",NA,23895.3520844389,"small"
"400","Grant to LB Hammersmith and Fulham","GBP",1617842,2016-03-30,"LB Hammersmith and Fulham","Greater London Authority","Development, Enterprise & Environment",NA,1383374.2505766,"large"
"401","Grant to Swan New Homes Limited","GBP",29195000,2016-03-31,"Swan New Homes Limited","Greater London Authority","Housing and Land",NA,40995030.4565921,"large"
"402","Grant to Social Finance Limited","GBP",9000,2016-03-31,"Social Finance Limited","Greater London Authority","Housing and Land",NA,12443.7146964843,"small"
"403","Grant to LB Lewisham","GBP",2216835,2016-04-01,"LB Lewisham","Greater London Authority","Development, Enterprise & Environment",NA,3115271.34009038,"med"
"404","Grant to LB Havering","GBP",1368807,2016-04-01,"LB Havering","Greater London Authority","Development, Enterprise & Environment",NA,1650133.36110142,"large"
"405","Grant to College of North West London","GBP",6500000,2016-04-01,"College of North West London","Greater London Authority","Development, Enterprise & Environment",NA,9662201.39080378,"med"
"406","Grant to South Finance Limited","GBP",9000,2016-04-04,"Social Finance Limited","Greater London Authority","Housing and Land",NA,8094.37588079127,"large"
"407","Grant to Public Relations Consultants Associations Ltd","GBP",109054,2016-04-24,"Public Relations Consultants Associations Ltd","Greater London Authority","Development, Enterprise & Environment",NA,165181.534614278,"small"
"408","Grant to LB Lambeth","GBP",66600,2016-04-26,"LB Lambeth","Greater London Authority","Resources",NA,95248.0418930501,"small"
"409","Grant to LB Croydon","GBP",250000,2016-04-26,"LB Croydon","Greater London Authority","Development, Enterprise & Environment",NA,337995.301212918,"med"
"410","Grant to LB Harrow","GBP",40000,2016-04-28,"LB Harrow","Greater London Authority","Resources",NA,39545.4558527448,"large"
"411","Grant to Prevista","GBP",400002,2016-04-29,"Prevista","Greater London Authority","Development, Enterprise & Environment",NA,514674.561614258,"small"
"412","Grant to LB Westminster","GBP",520004,2016-05-11,"LB Westminster","Greater London Authority","Development, Enterprise & Environment",NA,682198.753477779,"med"
"413","Grant to LB Haringey","GBP",1667550,2016-05-11,"LB Haringey","Greater London Authority","Development, Enterprise & Environment",NA,1779494.66122654,"large"
"414","Grant to Veterans Aid","GBP",1632000,2016-05-12,"Veterans Aid","Greater London Authority","Housing and Land",NA,1906082.83702098,"large"
"415","Grant to Londoneast-UK Limited","GBP",5e+05,2016-05-12,"Londoneast-UK Limited","Greater London Authority","Development, Enterprise & Environment",NA,763284.733180322,"small"
"416","Grant to Hotel Elephant Ltd","GBP",86900,2016-05-13,"Hotel Elephant Ltd","Greater London Authority","Development, Enterprise & Environment",NA,98437.3670608654,"large"
"417","Grant to The Football Foundation","GBP",1500000,2016-05-25,"The Football Foundation","Greater London Authority","Communities and Intelligence",NA,2146183.95853158,"large"
"418","Grant to Paradigm Housing Group","GBP",3275400,2016-05-27,"Paradigm Housing Group","Greater London Authority","Housing and Land",NA,2785836.58926618,"large"
"419","Grant to LB Islington","GBP",3895687,2016-05-31,"LB Islington","Greater London Authority","Development, Enterprise & Environment",NA,4185339.86749095,"small"
"420","Grant to LB Croydon","GBP",500924,2016-06-03,"LB Croydon","Greater London Authority","Resources",NA,499143.49194193,"med"
"421","Grant to LB Bexley","GBP",75000,2016-06-03,"LB Bexley","Greater London Authority","Resources",NA,102056.958854728,"med"
"422","Grant to St Mungo's","GBP",8e+05,2016-06-07,"St Mungo's","Greater London Authority","Housing and Land",NA,814206.080535759,"small"
"423","Grant to LB Tower Hamlets","GBP",7021028,2016-06-13,"LB Tower Hamlets","Greater London Authority","Development, Enterprise & Environment",NA,8913014.49833147,"large"
"424","Grant to LB Greenwich","GBP",2982531,2016-06-15,"LB Greenwich","Greater London Authority","Development, Enterprise & Environment",NA,3856138.99498939,"small"
"425","Grant to Creative and Cultural Skills","GBP",65001,2016-06-16,"Creative and Cultural Skills","Greater London Authority","Development, Enterprise & Environment",NA,84570.1504086828,"med"
"426","Grant to British Fashion Council","GBP",649000,2016-06-20,"British Fashion Council","Greater London Authority","Communities and Intelligence",NA,683610.016638773,"large"
"427","Grant to LB Brent","GBP",2003507,2016-06-27,"LB Brent","Greater London Authority","Development, Enterprise & Environment",NA,2456700.1535694,"med"
"428","Grant to London Notting Hill Carnival Enterprises Trust","GBP",150000,2016-06-28,"London Notting Hill Carnival Enterprises Trust","Greater London Authority","External Affairs",NA,265246.208548548,"large"
"429","Grant to LB Bromley","GBP",1745468,2016-06-28,"LB Bromley","Greater London Authority","Development, Enterprise & Environment",NA,1910209.16188252,"med"
"430","Grant to LB Hounslow","GBP",1638418,2016-06-29,"LB Hounslow","Greater London Authority","Development, Enterprise & Environment",NA,1442553.50418101,"med"
"431","Grant to London Design Festival","GBP",250000,2016-07-01,"London Design Festival","Greater London Authority","Development, Enterprise & Environment",NA,314775.794958226,"med"
"432","Grant to LB Enfield","GBP",1082824,2016-07-01,"LB Enfield","Greater London Authority","Development, Enterprise & Environment",NA,1342553.04564906,"small"
"433","Grant to LB Bexley","GBP",1961000,2016-07-04,"LB Bexley","Greater London Authority","Development, Enterprise & Environment",NA,2873979.39071528,"large"
"434","Grant to LB Bexley","GBP",4200000,2016-07-11,"LB Bexley","Greater London Authority","Development, Enterprise & Environment",NA,6970951.98193612,"small"
"435","Grant to Reed in Partnership Limited","GBP",398375,2016-07-12,"Reed in Partnership Limited","Greater London Authority","Development, Enterprise & Environment",NA,458742.657468585,"large"
"436","Grant to LB Hillingdon","GBP",8e+05,2016-07-15,"LB Hillingdon","Greater London Authority","Development, Enterprise & Environment",NA,1163891.6980878,"med"
"437","Grant to Ealing, Hammersmith & West London College","GBP",660000,2016-07-15,"Ealing, Hammersmith & West London College","Greater London Authority","Development, Enterprise & Environment",NA,811381.932137,"small"
"438","Grant to Lordship Rec Ecohub Co-operative Ltd","GBP",6000,2016-07-26,"Lordship Rec Ecohub Co-operative Ltd","Greater London Authority","Development, Enterprise & Environment",NA,6989.60282842936,"med"
"439","Grant to Peabody Trust","GBP",47556893,2016-07-29,"Peabody Trust","Greater London Authority","Housing and Land",NA,58292568.2855177,"large"
"440","Grant to Father Nature Ltd","GBP",7500,2016-08-01,"Father Nature Ltd","Greater London Authority","Development, Enterprise & Environment",NA,9119.58401179836,"med"
"441","Grant to Kitchenette Incubator Ltd.","GBP",15000,2016-08-02,"Kitchenette Incubator Ltd.","Greater London Authority","Development, Enterprise & Environment",NA,19910.638225856,"med"
"442","Grant to LB Hackney","GBP",4189097,2016-08-04,"LB Hackney","Greater London Authority","Development, Enterprise & Environment",NA,3853095.16928676,"small"
"443","Grant to National College for Digital Skills Ltd","GBP",18222569,2016-08-08,"National College for Digital Skills Ltd","Greater London Authority","Development, Enterprise & Environment",NA,20295801.2260848,"small"
"444","Grant to The Urban Orchard Project","GBP",2000,2016-08-09,"The Urban Orchard Project","Greater London Authority","Development, Enterprise & Environment",NA,857.009021105286,"large"
"445","Grant to Shakespeare's Globe Trust","GBP",25000,2016-08-09,"Shakespeare's Globe Trust","Greater London Authority","External Affairs",NA,23818.6700437341,"med"
"446","Grant to LB Westminster","GBP",66000,2016-08-09,"LB Westminster","Greater London Authority","Resources",NA,71787.501622496,"large"
"447","Grant to Penge Canteen CIC","GBP",5000,2016-08-10,"Penge Canteen CIC","Greater London Authority","Development, Enterprise & Environment",NA,9930.01873795573,"med"
"448","Grant to Waltham Forest College","GBP",3554892,2016-08-12,"Waltham Forest College","Greater London Authority","Development, Enterprise & Environment",NA,4765823.19615525,"med"
"449","Grant to Eel Pie Island museum CIC","GBP",8,2016-08-16,"Eel Pie Island museum CIC","Greater London Authority","Development, Enterprise & Environment",NA,13.8147945067924,"large"
"450","Grant to LB Lewisham","GBP",113000,2016-08-19,"LB Lewisham","Greater London Authority","Development, Enterprise & Environment",NA,120286.066695904,"large"
"451","Grant to LB Sutton","GBP",50000,2016-08-25,"LB Sutton","Greater London Authority","Development, Enterprise & Environment",NA,57041.6920778965,"large"
"452","Grant to Weavers Adventure Playground","GBP",13000,2016-08-26,"Weavers Adventure Playground","Greater London Authority","Development, Enterprise & Environment",NA,18429.0079372794,"large"
"453","Grant to Poplar HARCA","GBP",1779250,2016-08-26,"Poplar HARCA","Greater London Authority","Development, Enterprise & Environment",NA,1811805.72195699,"med"
"454","Grant to Made Public CIC","GBP",11000,2016-08-31,"Made Public CIC","Greater London Authority","Development, Enterprise & Environment",NA,14155.4167309655,"large"
"455","Grant to The Phoenix Garden","GBP",10000,2016-09-01,"The Phoenix Garden","Greater London Authority","Development, Enterprise & Environment",NA,17457.2739294628,"med"
"456","Grant to The Carpentry Club at Oxford House","GBP",9500,2016-09-01,"The Carpentry Club at Oxford House","Greater London Authority","Development, Enterprise & Environment",NA,14432.1231911266,"large"
"457","Grant to Mill Hill Neighbourhood Forum","GBP",20000,2016-09-01,"Mill Hill Neighbourhood Forum","Greater London Authority","Development, Enterprise & Environment",NA,16205.7992178129,"small"
"458","Grant to East London Food Access Limited","GBP",17000,2016-09-01,"East London Food Access Limited","Greater London Authority","Development, Enterprise & Environment",NA,21742.0742044981,"med"
"459","Grant to Peckham Lido CIC","GBP",7500,2016-09-05,"Peckham Lido CIC","Greater London Authority","Development, Enterprise & Environment",NA,10298.9549440754,"med"
"460","Grant to WESTRA","GBP",20000,2016-09-08,"WESTRA","Greater London Authority","Development, Enterprise & Environment",NA,22563.13137501,"med"
"461","Grant to V22","GBP",6000,2016-09-12,"V22","Greater London Authority","Development, Enterprise & Environment",NA,9112.50493338027,"large"
"462","Grant to Groundswell","GBP",50000,2016-09-19,"Groundswell","Greater London Authority","Housing and Land",NA,59961.3467973661,"small"
"463","Grant to Pathway","GBP",13762,2016-09-19,"Pathway","Greater London Authority","Housing and Land",NA,11691.1584178085,"med"
"464","Grant to LLDC","GBP",8500000,2016-09-21,"LLDC","Greater London Authority","Development, Enterprise & Environment",NA,9353510.05018075,"small"
"465","Grant to Greater London Volunteering","GBP",75000,2016-09-23,"Greater London Volunteering","Greater London Authority","Communities and Intelligence",NA,72474.7802707086,"small"
"466","Grant to Grass Roots Forest School C.I.C","GBP",11000,2016-09-27,"Grass Roots Forest School C.I.C","Greater London Authority","Development, Enterprise & Environment",NA,14208.3254214264,"small"
"467","Grant to London Sculpture Workshop","GBP",20000,2016-10-18,"London Sculpture Workshop","Greater London Authority","Development, Enterprise & Environment",NA,23613.2894027662,"med"
"468","Grant to Paxton Primary School","GBP",3000,2016-10-24,"Paxton Primary School","Greater London Authority","Development, Enterprise & Environment",NA,3726.1339090696,"large"
"469","Grant to Mayor's Fund for London","GBP",5000,2016-10-28,"Mayor's Fund for London","Greater London Authority","Development, Enterprise & Environment",NA,3910.27196306652,"med"
"470","Grant to British Gymnastics","GBP",50000,2016-11-08,"British Gymnastics","Greater London Authority","Communities and Intelligence",NA,56904.3260194704,"med"
"471","Grant to Skill Festival Company Ltd","GBP",50000,2016-11-10,"Skill Festival Company Ltd","Greater London Authority","Development, Enterprise & Environment",NA,70005.2768842616,"small"
"472","Grant to Punch and Juicy Liquid Foods Ltd","GBP",10000,2016-11-16,"Punch and Juicy Liquid Foods Ltd","Greater London Authority","Development, Enterprise & Environment",NA,8320.19326627052,"med"
"473","Grant to Haringey Council","GBP",80000,2016-11-18,"Haringey Council","Greater London Authority","Communities and Intelligence",NA,88335.3014437518,"large"
"474","Grant to The WKCIC Group","GBP",208700,2016-11-22,"The WKCIC Group","Greater London Authority","Development, Enterprise & Environment",NA,276513.838002637,"small"
"475","Grant to Livity Limited","GBP",115600,2016-11-22,"Livity Limited","Greater London Authority","Development, Enterprise & Environment",NA,167545.386623971,"small"
"476","Grant to Outset Contemporary Art Fund","GBP",30000,2017-01-17,"Outset Contemporary Art Fund","Greater London Authority","Communities and Intelligence",NA,33382.640293028,"small"
"477","Grant to LB Ealing","GBP",1e+05,2017-01-23,"LB Ealing","Greater London Authority","Development, Enterprise & Environment",NA,132499.414512688,"small"
"478","Grant to LB Brent","GBP",83075,2017-01-23,"LB Brent","Greater London Authority","Development, Enterprise & Environment",NA,97096.4800439384,"small"
"479","Grant to Central and North-West London NHS Foundation Trust       (CNWL)","GBP",21000,2017-02-01,"Central and North-West London NHS Foundation Trust       (CNWL)","Greater London Authority","Housing and Land",NA,26421.8550052217,"small"
"480","Grant to England Boxing","GBP",66500,2017-02-16,"England Boxing","Greater London Authority","Communities and Intelligence",NA,73144.305220378,"med"
"481","Grant to The Illuminated River Foundation","GBP",1e+05,2017-02-20,"The Illuminated River Foundation","Greater London Authority","Communities and Intelligence",NA,72314.2813157648,"large"
"482","Grant to LB Bexley","GBP",87000,2017-03-01,"LB Bexley","Greater London Authority","Development, Enterprise & Environment",NA,105162.462318663,"med"
"483","Grant to Entelechy Arts","GBP",9974,2017-03-13,"Entelechy Arts","Greater London Authority","Communities and Intelligence","Team London small grants",9575.93891248947,"med"
"484","Grant to Hoborn Community Association","GBP",8650,2017-03-14,"Hoborn Community Association","Greater London Authority","Communities and Intelligence","Team London small grants",11334.5047115373,"large"
"485","Grant to Hounslow Action for Youth","GBP",10000,2017-03-15,"Hounslow Action for Youth","Greater London Authority","Communities and Intelligence","Team London small grants",13138.9345895231,"med"
"486","Grant to Jewish Volunteering Network","GBP",10000,2017-03-16,"Jewish Volunteering Network","Greater London Authority","Communities and Intelligence","Team London small grants",9215.10838742631,"med"
"487","Grant to The London Bubble Theatre","GBP",8000,2017-03-17,"The London Bubble Theatre","Greater London Authority","Communities and Intelligence","Team London small grants",5762.95615269826,"med"
"488","Grant to Merton Home Tutoring Service","GBP",5970,2017-03-18,"Merton Home Tutoring Service","Greater London Authority","Communities and Intelligence","Team London small grants",7253.38815645444,"med"
"489","Grant to Opening Doors London","GBP",10000,2017-03-19,"Opening Doors London","Greater London Authority","Communities and Intelligence","Team London small grants",8190.05896396023,"small"
"490","Grant to Southall Community Alliance","GBP",8300,2017-03-20,"Southall Community Alliance","Greater London Authority","Communities and Intelligence","Team London small grants",11625.4229750436,"large"
"491","Grant to St Mary's Secret Garden","GBP",9800,2017-03-21,"St Mary's Secret Garden","Greater London Authority","Communities and Intelligence","Team London small grants",11131.0460276713,"large"
"492","Grant to The Cara Trust","GBP",9175,2017-03-22,"The Cara Trust","Greater London Authority","Communities and Intelligence","Team London small grants",6790.70462619853,"large"
"493","Grant to Trees for Cities","GBP",53250,2017-03-23,"Trees for Cities","Greater London Authority","Development, Enterprise & Environment",NA,91769.2283620527,"large"
"494","Grant to LB Sutton","GBP",50000,2017-03-23,"LB Sutton","Greater London Authority","Development, Enterprise & Environment",NA,75580.8799309051,"large"
"495","Grant to LB Richmond upon Thames","GBP",50000,2017-03-23,"LB Richmond upon Thames","Greater London Authority","Development, Enterprise & Environment",NA,56372.3256785813,"med"
"496","Grant to LB Lambeth","GBP",1e+05,2017-03-23,"LB Lambeth","Greater London Authority","Development, Enterprise & Environment",NA,127794.147096406,"large"
"497","Grant to Walworth Golden Oldies Community Care Project","GBP",7000,2017-03-24,"Walworth Golden Oldies Community Care Project","Greater London Authority","Communities and Intelligence","Team London small grants",11309.5244943088,"small"
"498","Grant to St Michael's Centre","GBP",15493,2017-03-26,"St Michael's Centre","Greater London Authority","Housing and Land",NA,21479.2206037106,"large"
"499","Grant to Nation Federation of Self-Employed and Small Businesses Limited.","GBP",22000,2017-03-27,"Nation Federation of Self-Employed and Small Businesses Limited.","Greater London Authority","Development, Enterprise & Environment",NA,22096.8452271717,"small"
"500","Grant to Imperial Consultants","GBP",180857,2017-03-30,"Imperial Consultants","Greater London Authority","Development, Enterprise & Environment",NA,236753.721172062,"med"
"501","Grant to Brithish Fashion Council","GBP",2596000,2017-04-01,"British Fashion Council","Greater London Authority","Communities and Intelligence",NA,3124032.20361312,"small"
"502","Grant to Beam Up Ltd","GBP",55000,2017-04-03,"Beam Up Ltd","Greater London Authority","Housing and Land",NA,59414.5624965852,"small"
"503","Grant to Pathway","GBP",18374,2017-04-03,"Pathway","Greater London Authority","Housing and Land",NA,21640.3037468673,"small"
"504","Grant to Thames Reach","GBP",78063.84,2017-04-03,"Thames Reach","Greater London Authority","Housing and Land",NA,105967.692759107,"large"
"505","Grant to Groundswell","GBP",44380,2017-04-03,"Groundswell","Greater London Authority","Housing and Land",NA,45589.7517889285,"small"
"506","Grant to Spear","GBP",37000,2017-04-03,"Spear","Greater London Authority","Housing and Land",NA,44508.3248981934,"small"
"507","Grant to St Mungo's","GBP",9000,2017-04-03,"St Mungo's","Greater London Authority","Housing and Land",NA,14613.7508168867,"small"
"508","Grant to Film London Ltd","GBP",6200000,2017-04-24,"Film London","Greater London Authority","Communities and Intelligence",NA,9109849.9587687,"med"
"509","Grant to Challenge Partners","GBP",148000,2017-05-10,"Challenge Partners","Greater London Authority","Communities and Intelligence",NA,158040.405742507,"med"
"510","Grant to British Taekwondo","GBP",24860,2017-06-01,"British Taekwondo","Greater London Authority","Communities and Intelligence",NA,34901.0064011694,"small"
"511","Grant to Mayor's Fund for London","GBP",30000,2017-06-08,"Mayor's Fund for London","Greater London Authority","Communities and Intelligence",NA,31885.5782075731,"med"
"512","Grant to Studio Wayne Gregory","GBP",1e+05,2017-06-12,"Studio Wayne Gregory","Greater London Authority","Communities and Intelligence",NA,124546.472905732,"small"
"513","Grant to London Borough of Sutton","GBP",80000,2017-06-27,"London Borough of Sutton","Greater London Authority","Development, Enterprise & Environment",NA,102734.999779909,"med"
"514","Grant to United St Saviours Charity","GBP",10000,2017-07-05,"United St Saviours Charity","Greater London Authority","Development, Enterprise & Environment",NA,9647.05141786187,"large"
"515","Grant to Moat Homes Ltd","GBP",70000,2017-07-05,"Moat Homes Ltd","Greater London Authority","Development, Enterprise & Environment",NA,83256.136856194,"large"
"516","Grant to LB Barnet","GBP",2852764,2017-07-28,"LB Barnet","Greater London Authority","Development, Enterprise & Environment",NA,3143108.23044325,"med"
"517","Grant to The Sustainable Home Survey Company C.I.C","GBP",149561,2017-08-21,"The Sustainable Home Survey Company C.I.C","Greater London Authority","Development, Enterprise & Environment",NA,216281.926016616,"large"
"518","Grant to Sustainable Venture Development Partners Ltd","GBP",220768,2017-08-30,"Sustainable Venture Development Partners Ltd","Greater London Authority","Development, Enterprise & Environment",NA,350155.862064002,"large"
"519","Grant to Sustainable Bridges CIC","GBP",248296,2017-08-31,"Sustainable Bridges CIC","Greater London Authority","Development, Enterprise & Environment",NA,350088.275658318,"small"
"520","Grant to Agile Impressions Ltd","GBP",164649,2017-08-31,"Agile Impressions Ltd","Greater London Authority","Development, Enterprise & Environment",NA,240510.280821935,"small"
"521","Grant to Camden Town Unlimited","GBP",2500,2017-09-04,"Camden Town Unlimited","Greater London Authority","Development, Enterprise & Environment",NA,4081.42414925638,"large"
"522","Grant to Mayor's Fund for London","GBP",20000,2017-09-07,"Mayor's Fund for London","Greater London Authority","Development, Enterprise & Environment",NA,26765.3206575894,"med"
"523","Grant to The Community Brain","GBP",5000,2017-09-12,"The Community Brain","Greater London Authority","Development, Enterprise & Environment",NA,6950.20438432799,"small"
"524","Grant to Sustain:  the alliance forr better food and farming","GBP",5500,2017-09-12,"Sustain - The Alliance for better food and farming","Greater London Authority","Development, Enterprise & Environment",NA,6922.67481653784,"large"
"525","Grant to Genesis Housing Association","GBP",260000,2017-09-12,"Genesis Housing Association","Greater London Authority","Development, Enterprise & Environment",NA,328569.844536279,"large"
"526","Grant to Kollektive","GBP",12500,2017-09-14,"Kollektive","Greater London Authority","Development, Enterprise & Environment",NA,13448.9908348795,"med"
"527","Grant to Hoxton Hall","GBP",13500,2017-09-14,"Hoxton Hall","Greater London Authority","Development, Enterprise & Environment",NA,17775.522572884,"small"
"528","Grant to Free the Children UK","GBP",90000,2017-09-18,"Free the Children UK","Greater London Authority","Communities and Intelligence",NA,120250.976591562,"small"
"529","Grant to A New Direction London Limited","GBP",149841.68,2017-09-22,"A New Direction London Limited","Greater London Authority","Development, Enterprise & Environment",NA,186143.175224041,"small"
"530","Grant to Brixton Pound CIC","GBP",4000,2017-09-26,"Brixton Pound CIC","Greater London Authority","Development, Enterprise & Environment",NA,4479.24976641173,"large"
"531","Grant to RIO Cinema","GBP",40000,2017-09-28,"RIO Cinema","Greater London Authority","Development, Enterprise & Environment",NA,51757.4181299625,"large"
"532","Grant to Chipping Barnet Town Team","GBP",30000,2017-10-03,"Chipping Barnet Town Team","Greater London Authority","Development, Enterprise & Environment",NA,32550.6434128137,"large"
"533","Grant to Somers Town Community Association","GBP",15000,2017-10-09,"Somers Town Community Association","Greater London Authority","Development, Enterprise & Environment",NA,14332.9365249055,"small"
"534","Grant to Supersets","GBP",25000,2017-10-16,"Supersets","Greater London Authority","Development, Enterprise & Environment",NA,18820.0566427666,"med"
"535","Grant to London Mozart Players","GBP",1000,2017-10-16,"London Mozart Players","Greater London Authority","Development, Enterprise & Environment",NA,1654.35372188462,"med"
"536","Grant to Living Under One Sun","GBP",25000,2017-10-19,"Living Under One Sun","Greater London Authority","Development, Enterprise & Environment",NA,26734.5421692919,"large"
"537","Grant to The Camden Soceity","GBP",10000,2017-10-20,"The Camden Soceity","Greater London Authority","Development, Enterprise & Environment",NA,12323.812656861,"med"
"538","Grant to Friends of Cricklewood Library","GBP",40000,2017-10-20,"Friends of Cricklewood Library","Greater London Authority","Development, Enterprise & Environment",NA,66921.9559887747,"small"
"539","Grant to Horsenden Allotments Association","GBP",10000,2017-10-31,"Horsenden Allotments Association","Greater London Authority","Development, Enterprise & Environment",NA,12499.5582623257,"med"
"540","Grant to Imperial College of science, Technology and medicine","GBP",149038,2017-11-01,"Imperial College of science, Technology and medicine","Greater London Authority","Development, Enterprise & Environment",NA,227295.74476422,"large"
"541","Grant to Greater London Volunteering","GBP",67000,2013-11-01,"Greater London Volunteering","Greater London Authority","Communities and Intelligence",NA,74035.0718894777,"small"
"542","Grant to LB Harrow","GBP",3e+05,2018-07-30,"LB Harrow","Greater London Authority","Development, Enterprise & Environment","National Park City Programme - 2018 to 2021",334819.796427709,"small"
"543","Grant to United St Saviours Charity","GBP",175000,2017-11-21,"United St Saviours Charity","Greater London Authority","Development, Enterprise & Environment","Business Continuity Fund Programme",240245.899774047,"med"
"544","Grant to Jewish Leadership Council","GBP",25000,2017-11-23,"Jewish Leadership Council","Greater London Authority","Resources","Events for London Programme 2017/18",40419.6222435564,"small"
"545","Grant to Laureus Sport for Good Foundation","GBP",5e+05,2018-06-07,"Laureus Sport for Good Foundation","Greater London Authority","Communities and Intelligence","Community Sport Investment Programme",472980.662427555,"large"
"546","Grant to New City College","GBP",250000,2018-06-11,"New City College","Greater London Authority","Development, Enterprise & Environment","Digital Talent programme",201288.580775458,"large"
"547","Grant to Challenge Partners","GBP",148000,2018-05-07,"Challenge Partners","Greater London Authority","Communities and Intelligence","Getting Ahead London – continuation programme",114256.680515906,"med"
"548","Grant to LB Islington Council","GBP",185000,2018-06-04,"LB Islington","Greater London Authority","Development, Enterprise & Environment","Mayor’s Business Air Quality Fund",240859.780269218,"med"
"549","Grant to Poplar HARCA","GBP",1993792,2018-04-27,"Poplar HARCA","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",3954937.52269431,"large"
"550","Grant to Old Oak Park Royal Development Corporation","GBP",750004,2018-04-16,"Old Oak Park Royal Development Corporation","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",710626.630413299,"small"
"551","Grant to LB Haringey","GBP",430000,2018-04-16,"LB Haringey","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",498526.633533911,"small"
"552","Grant to 198 Contemporary Arts and Learning","GBP",475000,2018-04-01,"198 Contemporary Arts and Learning","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",783818.181319702,"med"
"553","Grant to Urban Development Ltd","GBP",1e+06,2018-05-11,"Urban Development Ltd","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",1651769.12964822,"large"
"554","Grant to Covent Garden Marketing Authority","GBP",2957505,2018-04-01,"Covent Garden Marketing Authority","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",4144142.51018451,"small"
"555","Grant to LB Hammersmith and Fulham","GBP",1100000,2018-04-16,"LB Hammersmith and Fulham","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",1456227.48904066,"med"
"556","Grant to LB Waltham Forest","GBP",410300,2018-05-30,"LB Waltham Forest","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",547544.320365981,"med"
"557","Grant to Newham College of Further Education","GBP",250000,2018-07-20,"Newham College of Further Education","Greater London Authority","Development, Enterprise & Environment","Digital Talent programme",279901.276008199,"med"
"558","Grant to Freeformers Holdings Ltd","GBP",5e+05,2018-02-20,"Freeformers Holdings Ltd","Greater London Authority","Development, Enterprise & Environment","Digital Talent programme",631972.373515138,"small"
"559","Grant to New City College","GBP",6e+05,2018-02-22,"New City College","Greater London Authority","Development, Enterprise & Environment","Digital Talent programme",700556.167403466,"large"
"560","Grant to Newham College of Further Education","GBP",5e+05,2018-02-20,"Newham College of Further Education","Greater London Authority","Development, Enterprise & Environment","Digital Talent programme",675011.665029478,"small"
"561","Grant to The Tech Partnership","GBP",124750,2018-10-27,"The Tech Partnership","Greater London Authority","Development, Enterprise & Environment",NA,199728.160781085,"large"
"562","Grant to Volunteer it Yourself CIC","GBP",2e+05,2018-06-01,"Volunteer it Yourself CIC","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",204640.297114865,"med"
"563","Grant to LB Southwark","GBP",267300,2018-04-01,"LB Southwark","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",272771.009517648,"small"
"564","Grant to LB Greenwich","GBP",2510000,2018-04-16,"LB Greenwich","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",3399553.53363247,"small"
"565","Grant to LB Harrow","GBP",485000,2018-04-01,"LB Harrow","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",516056.031628781,"med"
"566","Grant to Somerset House Trust","GBP",501000,2018-03-29,"Somerset House Trust","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",547860.656947343,"large"
"567","Grant to LB Kingston upon Thames","GBP",385239,2018-04-01,"LB Kingston upon Thames","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",696648.789284551,"med"
"568","Grant to Mountview Academy of Theatre Arts Limited","GBP",848543,2018-04-01,"Mountview Academy of Theatre Arts Limited","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",1031259.7835601,"med"
"569","Grant to LB Lambeth","GBP",90000,2018-03-06,"LB Lambeth","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",93753.5046567919,"large"
"570","Grant to LB Islington","GBP",1030000,2018-04-02,"LB Islington","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",1654551.49663191,"large"
"571","Grant to LB Barking and Dagenham","GBP",4e+05,2018-07-30,"LB Barking and Dagenham","Greater London Authority","Development, Enterprise & Environment","National Park City Programme - 2018 to 2021",501625.791687032,"small"
